tweets,target
"Made in the U.S.A. What can you expect? I don't think anyone is worrying. Always remember that the self-claimed most advanced in the world F-22 indigenous pride of America can't even fly properly; crashed, exploded, and killed the pilot (I have on video). There are safety problems and I'm not concern to be honest; I'll skip this one.",1
"'Sort by' up above, select 'Newest first', come to this thread and select 'replies' to see hidden comments.  Have a nice day.",1
"Its obviously speculation, but our (US) military has been in actual wars for far longer than China who shoots at paper targets' Not to mention we (The US) still have air superiority and about 10-15 years advanced tech. I could on but the experience of the US is what wins the day.",1
"The word dictator shows whose said you are 
Please free yourself from dollars ",1
Fake fake,0
 @quasidoc7726   Still bragging how good USA were in good old days?  Who fled from  Kabul in the middle of the night again? ,1
 Big No Quantity Big No But Quality Big Yes We Know that China's Low Quality Made in China Tech. Etc.   Compare To U.S.A Solid Tech and Quality Military equipment etc ,0
​ @haroldleelapat2606  after watching you are too afraid and  crying... can't do anything... Only good is your mouth ,0
 @garrylum6025  Yeah true. Spend money on military like America then rule the world. America should bend a knee to India. Rules based order by India.,1
" @haroldleelapat2606  The key word is once. 
Not applicable in modern times though... that is if you're up to date. 
And yet before the spaniards had ship that sails the ocean. The Chinese were trading across continents using bigger ships.
I guess you know nothing about that because your ignorance is seen with your laugh.",1
India is the superpower hahaha,1
owwww such a big navy that can't travel that far from China lol,1
Pick a fair fight? How delusional can one be? Pick a fight you know you can win... Tragic bs in this video,1
Which do you prefer made in USA or made in China?For me made in USA is proven tough and accurate.,1
 @Masterblaster6072  Keep hiding inside your bubble... India GDP only 1/6 of China. So naive if you think India can beat China on that..,0
​ @Masterblaster6072 what does India achieve? I don't really see any made in India stuff outside of India.,1
​ @ragnarokws2670 hey! Say what you like but no one can match India in talk talk and fronting. The problem is that they're starting to believe their own hype.,1
Sour lndian grapes,0
"​ @CN-lq2oy   it's a shame CN,  keep crying ",0
But at least they know how to respect their neighbors and the international law,0
" @balongride3169  really?  Ask the Cubans, the Venezuelans, and the people in the Middle East.",1
"Speaking of bully, China trying to militarily take over land belonging to most of their neighbors, including countries like Nepal and Bhutan.",1
" @Longsilog4920  Trying? Not took? Wow, they did a really bad job at taking over lands, I mean China’s GDP is 1000 times to Nepal and 20000 times to Bhutan.",0
" @Longsilog4920   oh really yankees didnt take over countries ? Ask the vassal states japan , korea , ph  . Ask Guam, hawaii, bikini and other asis pacific islands ,  who seized their islands  by military force n turned their islands into military bases ?     Go read more on the history before making infantile comments",0
 @Longsilog4920  but they American government always supports Israel to take over Palestinian lands so the  difference is that China doesn't support genocide anywhere. China is free of war crimes unlike USA.,1
"​ @Longsilog4920 It's India that invade and occupied Bhutan, after independent India still use a British drawed wrong map and teach a wrong history",0
"India is not envy about anybody and anything.
No need to envy others.
Indians knew it very well.
That's why we are not worried simply.",1
" @marcusgarveyson  
Sorry our media don't paint anything. I know the reality very very well.",0
"That is hard to do, India has nothing to focus on.",0
Better take care of your own lndian backyard before commenting on others,1
 @we_are_legendary0224  The son of a former corrupt criminal could be elected president. Do you still have expectations? Do countries that allow foreign troops to station still have sovereignty? Is there anything else you would like to explain?,0
 @deancafe4739  Please think about why India's neighbors hate India,0
"Did the people of China have the freedom to vote for their leaders   If you live inside China, can you criticize the government failure...",0
​ @user-os7ps2bx4n how about the black prison or secret prison?? why media was hidden that news..?,0
 @NamokaLol.  do you mean the black prison or secret prison in Guantanamo Bay detention camp?,0
Your comment is now infested by sleeper cells. Careful,0
" @samswe-fr2tr  Not good for American Jpanese and Indian people, I think",0
"They also dun have the right to defeacate in public, how awful",0
